step,strain,x_m,y_m,mode
183,0.003050000,-0.029835294,-0.052211765,tensile
183,0.003050000,-0.003729412,-0.037294118,tensile
183,0.003050000,-0.003729412,-0.022376471,tensile
183,0.003050000,0.026105882,-0.014917647,tensile
183,0.003050000,-0.026105882,-0.007458824,tensile
183,0.003050000,0.011188235,0.014917647,tensile
183,0.003050000,-0.003729412,0.022376471,tensile
183,0.003050000,0.003729412,0.022376471,tensile
183,0.003050000,0.014917647,0.022376471,tensile
184,0.003066667,-0.029835294,-0.044752941,tensile
184,0.003066667,-0.003729412,-0.029835294,tensile
184,0.003066667,0.029835294,-0.022376471,tensile
184,0.003066667,0.022376471,0.014917647,tensile
184,0.003066667,-0.003729412,0.037294118,tensile
184,0.003066667,-0.029835294,0.044752941,tensile
185,0.003083333,0.018647059,-0.059670588,tensile
185,0.003083333,0.026105882,-0.052211765,tensile
185,0.003083333,-0.011188235,0.022376471,tensile
186,0.003100000,0.022376471,-0.059670588,tensile
186,0.003100000,-0.014917647,0.022376471,tensile
186,0.003100000,0.029835294,0.029835294,tensile
186,0.003100000,0.026105882,0.059670588,tensile
187,0.003116667,0.011188235,-0.059670588,tensile
187,0.003116667,-0.011188235,-0.037294118,tensile
187,0.003116667,0.026105882,0.014917647,tensile
187,0.003116667,0.007458824,0.022376471,tensile
187,0.003116667,0.011188235,0.022376471,tensile
187,0.003116667,0.000000000,0.037294118,tensile
187,0.003116667,0.022376471,0.059670588,tensile
188,0.003133333,-0.007458824,-0.037294118,tensile
188,0.003133333,0.022376471,-0.029835294,tensile
188,0.003133333,0.003729412,0.007458824,tensile
188,0.003133333,0.007458824,0.007458824,tensile
188,0.003133333,0.029835294,0.059670588,tensile
189,0.003150000,-0.007458824,-0.052211765,tensile
189,0.003150000,0.007458824,-0.044752941,tensile
189,0.003150000,-0.026105882,-0.037294118,tensile
189,0.003150000,0.018647059,-0.029835294,tensile
189,0.003150000,-0.014917647,0.000000000,tensile
190,0.003166667,-0.026105882,-0.059670588,tensile
190,0.003166667,-0.003729412,-0.007458824,tensile
190,0.003166667,-0.011188235,0.014917647,tensile
190,0.003166667,-0.026105882,0.052211765,tensile
191,0.003183333,0.029835294,-0.059670588,tensile
191,0.003183333,0.003729412,-0.022376471,tensile
191,0.003183333,0.003729412,-0.014917647,tensile
191,0.003183333,-0.018647059,0.029835294,tensile
191,0.003183333,-0.026105882,0.059670588,tensile
192,0.003200000,0.026105882,-0.059670588,tensile
192,0.003200000,0.022376471,-0.037294118,tensile
192,0.003200000,0.000000000,-0.029835294,tensile
192,0.003200000,0.000000000,-0.022376471,tensile
192,0.003200000,-0.022376471,0.014917647,tensile
192,0.003200000,0.003729412,0.014917647,tensile
192,0.003200000,0.007458824,0.044752941,tensile
192,0.003200000,-0.029835294,0.059670588,tensile
193,0.003216667,-0.026105882,-0.052211765,tensile
193,0.003216667,0.022376471,-0.044752941,tensile
194,0.003233333,0.003729412,-0.029835294,tensile
194,0.003233333,-0.029835294,-0.007458824,tensile
194,0.003233333,0.022376471,-0.007458824,tensile
194,0.003233333,0.018647059,0.037294118,tensile
194,0.003233333,-0.026105882,0.044752941,tensile
194,0.003233333,-0.022376471,0.052211765,tensile
195,0.003250000,0.018647059,-0.037294118,tensile
195,0.003250000,-0.018647059,-0.022376471,tensile
195,0.003250000,0.022376471,-0.022376471,tensile
195,0.003250000,-0.014917647,-0.014917647,tensile
195,0.003250000,0.014917647,0.029835294,tensile
195,0.003250000,0.014917647,0.052211765,tensile
195,0.003250000,0.029835294,0.052211765,tensile
196,0.003266667,-0.011188235,-0.059670588,tensile
196,0.003266667,-0.018647059,-0.014917647,tensile
196,0.003266667,0.000000000,0.007458824,tensile
196,0.003266667,0.026105882,0.044752941,tensile
197,0.003283333,-0.029835294,-0.014917647,tensile
197,0.003283333,-0.003729412,0.007458824,tensile
197,0.003283333,-0.003729412,0.014917647,tensile
197,0.003283333,0.000000000,0.014917647,tensile
197,0.003283333,-0.029835294,0.052211765,tensile
197,0.003283333,-0.022376471,0.059670588,tensile
198,0.003300000,-0.018647059,-0.052211765,tensile
198,0.003300000,0.000000000,-0.044752941,tensile
198,0.003300000,0.014917647,-0.037294118,tensile
198,0.003300000,-0.026105882,-0.014917647,tensile
