phase,delta,force
loading,0.0008089887640449438,2.6906014815272576
loading,0.0008224719101123594,2.7249924399583025
loading,0.0008359550561797752,2.759091670048488
loading,0.0008494382022471909,2.792901967067093
loading,0.0008629213483146067,2.8264261012126193
loading,0.0008764044943820225,2.859666817818741
loading,0.0008898876404494381,2.892626837558642
loading,0.0009033707865168539,2.9253088566477854
loading,0.0009168539325842696,2.9577155470450793
loading,0.0009303370786516854,2.9898495566525076
loading,0.000943820224719101,3.0217135095131695
loading,0.0009573033707865168,3.053310006007813
loading,0.0009707865168539324,3.084641623049808
loading,0.0009842696629213483,3.115710914278628
loading,0.000997752808988764,3.1465204102517914
loading,0.0010112359550561798,3.1770726186353397
loading,0.0010247191011235953,3.2073700243928003
loading,0.0010382022471910112,3.2374150899726986
loading,0.0010516853932584268,3.2672102554945885
loading,0.0010651685393258427,3.2967579389336468
loading,0.0010786516853932583,3.3260605363038125
loading,0.001092134831460674,3.3551204218395023
loading,0.0011056179775280897,3.383939948175907
loading,0.0011191011235955055,3.4125214465278773
loading,0.0011325842696629212,3.440867226867405
loading,0.001146067415730337,3.468979578099729
loading,0.0011595505617977527,3.4968607682380557
loading,0.0011730337078651684,3.5245130445769064
loading,0.001186516853932584,3.5519386338641192
loading,0.0012,3.5791397424715017
unloading,0.0012,3.5791397424715017
unloading,0.0011865168539325842,-0.29456739980137664
unloading,0.0011730337078651684,-0.29456739980137664
unloading,0.0011595505617977527,-0.29456739980137664
unloading,0.001146067415730337,-0.29456739980137664
unloading,0.0011325842696629212,-0.29456739980137664
unloading,0.0011191011235955055,-0.29456739980137664
unloading,0.0011056179775280899,-0.29456739980137664
unloading,0.001092134831460674,-0.29456739980137664
unloading,0.0010786516853932583,-0.29456739980137664
unloading,0.0010651685393258425,-0.29456739980137664
unloading,0.0010516853932584268,-0.29456739980137664
unloading,0.0010382022471910112,-0.29456739980137664
unloading,0.0010247191011235953,-0.29456739980137664
unloading,0.0010112359550561798,-0.29456739980137664
unloading,0.000997752808988764,-0.29456739980137664
unloading,0.0009842696629213483,-0.29456739980137664
unloading,0.0009707865168539324,-0.29456739980137664
unloading,0.0009573033707865167,-0.29456739980137664
unloading,0.0009438202247191011,-0.29456739980137664
unloading,0.0009303370786516854,-0.29456739980137664
unloading,0.0009168539325842696,-0.29456739980137664
unloading,0.0009033707865168539,-0.29456739980137664
unloading,0.0008898876404494382,-0.29456739980137664
unloading,0.0008764044943820224,-0.29456739980137664
unloading,0.0008629213483146067,-0.29456739980137664
unloading,0.0008494382022471909,-0.29456739980137664
unloading,0.0008359550561797751,-0.29456739980137664
unloading,0.0008224719101123595,-0.29456739980137664
unloading,0.0008089887640449437,-0.29456739980137664
unloading,0.000795505617977528,-0.29456739980137664
unloading,0.0007820224719101124,-0.29456739980137664
unloading,0.0007685393258426966,-0.29456739980137664
unloading,0.0007550561797752809,-0.29456739980137664
unloading,0.0007415730337078651,-0.29456739980137664
unloading,0.0007280898876404493,-0.29456739980137664
unloading,0.0007146067415730337,-0.29456739980137664
unloading,0.0007011235955056179,-0.29456739980137664
unloading,0.0006876404494382023,-0.29456739980137664
unloading,0.0006741573033707865,-0.29456739980137664
unloading,0.0006606741573033707,-0.29456739980137664
unloading,0.000647191011235955,-0.29456739980137664
unloading,0.0006337078651685392,-0.29456739980137664
unloading,0.0006202247191011234,-0.29456739980137664
unloading,0.0006067415730337078,-0.29456739980137664
unloading,0.0005932584269662921,-0.29456739980137664
unloading,0.0005797752808988764,-0.29456739980137664
unloading,0.0005662921348314607,-0.29456739980137664
unloading,0.0005528089887640449,-0.29456739980137664
unloading,0.0005393258426966292,-0.29456739980137664
unloading,0.0005258426966292134,-0.29456739980137664
unloading,0.0005123595505617977,-0.29456739980137664
unloading,0.000498876404494382,-0.29456739980137664
unloading,0.0004853932584269662,-0.29456739980137664
unloading,0.00047191011235955046,-0.29456739980137664
unloading,0.00045842696629213485,-0.29456739980137664
