step,axial_strain,sxx,syy,lx,ly
4600,0.022994999999999800322,159.91823060149201297,260.04406556463101197,0.0066077829296313748964,0.0090381717456302496094
4800,0.02399499999999980121,163.16979992055598814,265.5619575483430026,0.0066077829296313748964,0.0090289208495287660849
5000,0.024994999999999798629,166.10151706171100727,272.00247775693600261,0.0066077829296313748964,0.0090196699534272825605
5200,0.025994999999999698903,169.474404286555,278.96250868675798529,0.0066077829296313748964,0.009010419057325799036
5400,0.026994999999999699791,171.87587516712900992,285.83002133932700417,0.0066077829296313748964,0.0090011681612243155115
5600,0.027994999999999700679,173.13421112428099491,291.65909438771200257,0.0066077829296313748964,0.008991917265122831987
5800,0.02899499999999999994,177.83992393557198852,298.02293478511899139,0.0066077829296313748964,0.0089826663690213449931
6000,0.029995000000000000828,179.26838180009099233,305.56275282719099096,0.0066077829296313748964,0.0089734154729198614686
6200,0.030994999999999901102,183.94058903272699013,309.93165388018400108,0.0066077829296313748964,0.0089641645768183779441
6400,0.031994999999999898521,187.12356563483999139,317.10635038142402209,0.0066077829296313748964,0.0089549136807168944197
6600,0.032994999999999802265,190.13015241308900727,324.63243076214200755,0.0066077829296313748964,0.0089456627846154108952
6800,0.033994999999999803153,191.91568605319000085,331.12816942694200861,0.0066077829296313748964,0.0089364118885139273707
7000,0.034994999999999797102,196.00169076697901005,337.90823509200600938,0.0066077829296313748964,0.0089271609924124438462
7200,0.035994999999999700846,198.68918715266698882,344.46521219777702072,0.0066077829296313748964,0.0089179100963109603217
7400,0.036994999999999701734,201.73297138431101416,352.45688823017297864,0.0066077829296313748964,0.0089086592002094767972
7600,0.037994999999999702622,204.54456127582500358,359.38834830143400723,0.0066077829296313748964,0.0088994083041079932728
7800,0.038995000000000001883,209.36361014361500565,364.94017355062499064,0.0066077829296313748964,0.0088901574080065062788
8000,0.039995000000000002771,212.87629152656100473,372.71150352757501878,0.0066077829296313748964,0.0088809065119050227544
8200,0.040994999999999899576,215.85115912650400105,379.27752468639698691,0.0066077829296313748964,0.0088716556158035392299
8400,0.041994999999999900464,219.08364600836898717,387.68731876557501437,0.0066077829296313748964,0.0088624047197020557054
8600,0.042994999999999797269,221.33469389658000637,395.87371317048899755,0.0066077829296313748964,0.0088531538236005721809
8800,0.043994999999999798157,224.46820509281201339,401.80993313359397234,0.0066077829296313748964,0.0088439029274990886564
9000,0.044994999999999799045,228.77406573464500639,408.58293387963897203,0.0066077829296313748964,0.008834652031397605132
9200,0.045994999999999702789,233.21879371518599555,416.13799532942198312,0.0066077829296313748964,0.0088254011352961216075
9400,0.046994999999999696738,236.42971043397500353,424.94928571707902165,0.0066077829296313748964,0.008816150239194638083
9600,0.047994999999999697626,237.98211974397699464,431.62807034376800175,0.0066077829296313748964,0.0088068993430931545585
9800,0.048994999999999996887,242.52743537622001213,439.41361778209198974,0.0066077829296313748964,0.0087976484469916675646
10000,0.049994999999999997775,246.2092069561439871,446.95467899780697962,0.0066077829296313748964,0.0087883975508901840401
10200,0.050994999999999901519,250.54000076092299309,454.99145033453498854,0.0066077829296313748964,0.0087791466547887005156
10400,0.051994999999999902407,252.77279497978099698,463.02538294190702572,0.0066077829296313748964,0.0087698957586872169911
10600,0.052994999999999799212,255.9078128978389941,470.12626409633298863,0.0066077829296313748964,0.0087606448625857334667
10800,0.0539949999999998001,260.08231914433798693,478.91633001235300071,0.0066077829296313748964,0.0087513939664842499422
11000,0.054994999999999800988,264.4746620841880258,485.8035228768479783,0.0066077829296313748964,0.0087421430703827664177
11200,0.055994999999999697793,267.17784243296301838,494.83746435124601248,0.0066077829296313748964,0.0087328921742812828932
11400,0.056994999999999698681,270.68381030779198682,502.65959669870301241,0.0066077829296313748964,0.0087236412781797993687
11600,0.057994999999999699569,275.55572903137698404,509.00123316440300414,0.0066077829296313748964,0.0087143903820783158443
